Date,Open,High,Low,Close,Volume,OpenInt
41261 ,30.102,30.197,30.102,30.112,930,0
41262 ,30.236,30.266,30.236,30.266,206,0
41263 ,30.345,30.51,30.083,30.51,3807,0
41267 ,30.301,30.311,29.862,29.862,1708,0
41269 ,29.971,30.078,29.902,29.902,2678,0
41270 ,29.951,30.211,29.853,29.941,8134,0
41271 ,30.001,30.068,30.001,30.068,308,0
41274 ,30.107,30.107,29.853,29.853,512,0
41276 ,30.741,30.741,30.593,30.593,1501,0
41277 ,30.622,30.815,30.523,30.731,3419,0
41278 ,30.583,30.789,30.583,30.642,2678,0
41281 ,30.815,30.883,30.815,30.883,554,0
41282 ,30.533,30.721,30.533,30.543,5662,0
41283 ,30.922,30.922,30.583,30.75,15919,0
41284 ,31.204,31.204,30.932,30.981,1423,0
41285 ,31.371,31.371,31.371,31.371,118,0
41288 ,31.078,31.39,31.078,31.39,817,0
41289 ,31.155,32.468,30.853,31.242,6916,0
41290 ,31.175,31.271,31.175,31.271,1647,0
41291 ,31.553,31.661,31.351,31.661,1957,0
41292 ,31.495,31.495,31.495,31.495,791,0
41296 ,31.331,31.592,31.331,31.592,1873,0
41297 ,31.798,31.798,31.798,31.798,101,0
41298 ,31.788,31.884,31.495,31.495,1439,0
41299 ,32.312,32.312,32.1,32.1,410,0
41302 ,31.759,32.031,31.621,31.808,4150,0
41304 ,31.855,31.855,31.855,31.855,928,0
41305 ,32.031,32.031,32.031,32.031,308,0
41306 ,32.535,32.535,32.535,32.535,163,0
41309 ,32.37,32.759,32.165,32.165,5201,0
41310 ,32.544,32.544,32.544,32.544,101,0
41311 ,32.439,32.439,32.439,32.439,101,0
41316 ,32.203,32.203,32.203,32.203,206,0
41317 ,32.449,32.449,32.439,32.449,1131,0
41318 ,32.458,32.458,32.449,32.449,243,0
41319 ,32.36,32.36,32.35,32.36,2558,0
41324 ,32.505,32.505,32.439,32.439,3191,0
41325 ,32.623,32.623,32.252,32.252,1416,0
41326 ,32.05,32.05,32.05,32.05,101,0
